"VILL_","VILL_ID","NAME","TYPE","ADM_ID","AMP_ID","PRV_ID","TAM_NAME","AMP_NAME","PRV_NAME","MAIN_ID"
"16545","889","บ้านซาววา","v","4120203","41202","412","บุญเรือง","เชียงของ","เชียงราย","4120889"
"16550","898","บ้านใหม่ดอนแก้ว","v","4120207","41202","412","ห้วยซ้อ","เชียงของ","เชียงราย","4120898"
"16553","903","บ้านซ้อใต้","v","4120207","41202","412","ห้วยซ้อ","เชียงของ","เชียงราย","4120903"
"16556","909","บ้านต้นปล้องใต้","v","4120203","41202","412","บุญเรือง","เชียงของ","เชียงราย","4120909"
"16557","911","บ้านป่าเคาะ","v","4120203","41202","412","บุญเรือง","เชียงของ","เชียงราย","4120911"
"16558","913","บ้านหก","v","4120203","41202","412","บุญเรือง","เชียงของ","เชียงราย","4120913"
"16576","946","บ้านบุญเรืองเหนือ","v","4120203","41202","412","บุญเรือง","เชียงของ","เชียงราย","4120946"
"16587","969","บ้านต้นปล้อง","v","4120203","41202","412","บุญเรือง","เชียงของ","เชียงราย","4120969"
"16609","1019","บ้านแตนเมือง","v","4120203","41202","412","บุญเรือง","เชียงของ","เชียงราย","4121019"
"16616","1027","บ้านใหม่ทุ่งก่อ","v","4120207","41202","412","ห้วยซ้อ","เชียงของ","เชียงราย","4121027"
